Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Adresse_1,Adresse_2,Adresse_3,Code postal,Code_commune,Nom_commune,Code_departement,Code_academie,Code_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Apprentissage,Segpa,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Lycee_des_metiers,Post_BAC,Appartenance_Education_Prioritaire,GRETA,SIREN_SIRET,Nombre_d_eleves,Fiche_onisep,position,Type_contrat_prive,Libelle_departement,Libelle_academie,Libelle_region,coordonnee_X,coordonnee_Y,epsg,nom_circonscription,latitude,longitude,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,etablissement_multi_lignes,rpi_concentre,rpi_disperse,code_nature,libelle_nature,Code_type_contrat_prive,PIAL,etablissement_mere,type_rattachement_etablissement_mere,code_bassin_formation,libelle_bassin_formation
0780966B,Etablissement pour Poly-handicapés Institut medico-éducatif Christian Lazard,Médico-social,Privé,104 rue Nationale,,78940 LA QUEUE LES YVELINES,78940,78513,La Queue-les-Yvelines,78,25,11,,,,,,134864021,,,ime.christianlazard@croix-rouge.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.80276366,,,,,,,,,,,,,,,,,,,,,,,,,,
0783452D,Institut thérapeutique éducatif et pédagogique Jeanne Chevillotte,Médico-social,Privé,4 rue DE POISSY,,78130 LES MUREAUX,78130,78440,Les Mureaux,78,25,11,,,,,,134924590,,,,,,,,,,,,,,,,,,,,,7.76E+13,,,48.99260598,,,,,,,,,,,,,,,,,,,,,,,,,,
0783502H,Institut médico éducatif Notre école,Médico-social,Privé,19 chemin DES GRANDES TERRES,,78955 CARRIERES SOUS POISSY,78955,78123,Carrières-sous-Poissy,78,25,11,,,,,,130062701,,,mtcoutrot-imenotreecole@orange.fr,,,,,,,,,,,,,,,,,,3.93E+13,,,48.94799911,,,,,,,,,,,,,,,,,,,,,,,,,,
0910759F,Institut médico éducatif  Sillery,Médico-social,Privé,4 RUE CHARAINTRU,,91360 EPINAY SUR ORGE,91360,91216,Epinay-sur-Orge,91,25,11,,,,,,169793636,,,ime@cfbs-sillery.com,,,,,,,,,,,,,,,,,,7.78E+13,,,48.67773936,,,,,,,,,,,,,,,,,,,,,,,,,,
0911120Y,Institut thérapeutique éducatif et pédagogique Le petit Sénart,Médico-social,Privé,LE PETIT SENART,,91250 TIGERY,91250,91617,Tigery,91,25,11,,,,,,169896060,,,lepetitsenart@wanadoo.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.65285264,,,,,,,,,,,,,,,,,,,,,,,,,,
0911121Z,Etablissement pour Déficients Visuels C.M.P.S.I,Médico-social,Privé,4 rue VICTOR HUGO CHATEAU DE LA NORVILLE,,91290 LA NORVILLE,91290,91457,La Norville,91,25,11,,,,,,164901636,,,cmpsi.imp@bellan.fr,,,,,,,,,,,,,,,,,,7.85E+13,,,48.58248462,,,,,,,,,,,,,,,,,,,,,,,,,,
0911124C,Etablissement pour Déficients Visuels Valentin Hauy,Médico-social,Privé,30 AVENUE MAZARIN,,91380 CHILLY MAZARIN,91380,91161,Chilly-Mazarin,91,25,11,,,,,,169101065,,,impro-avh-chilly@wanadoo.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.7047763,,,,,,,,,,,,,,,,,,,,,,,,,,
0920591T,Institut médico éducatif Balzac,Médico-social,Privé,4 boulevard HONORE DE BALZAC,,92000 NANTERRE,92000,92050,Nanterre,92,25,11,,,,,,147210826,,,,,,,,,,,,,,,,,,,,,7.85E+13,,,48.89568727,,,,,,,,,,,,,,,,,,,,,,,,,,
0921419T,Institut médico éducatif Espoir Chatillonnais,Médico-social,Privé,13 RUE DE BAGNEUX,,92320 CHATILLON,92320,92020,Châtillon,92,25,11,,,,,,146555880,,,,,,,,,,,,,,,,,,,,,7.85E+13,,,48.79919194,,,,,,,,,,,,,,,,,,,,,,,,,,
0921445W,Etablissement pour infirmes moteurs Institut médico-éducatif Centre pré-scolaire Claire Girard,Médico-social,Privé,95 rue BRANCAS,,92310 SEVRES,92310,92072,Sèvres,92,25,11,,,,,,141143200,,,,,,,,,,,,,,,,,,,,,7.76E+13,,,48.82773546,,,,,,,,,,,,,,,,,,,,,,,,,,
0921488T,Etablissement pour infirmes moteurs Centre de rééducation notre Dame -  Institut d'Education Motrice,Médico-social,Privé,42 avenue DU ROULE,,92200 NEUILLY SUR SEINE,92200,92051,Neuilly-sur-Seine,92,25,11,,,,,,141920750,,,ce.0921488t@ac-versailles.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.88239978,,,,,,,,,,,,,,,,,,,,,,,,,,
0930536C,IME Jean Macé,Médico-social,Privé,12 rue Emile Beaufils,,93100 MONTREUIL,93100,93048,Montreuil,93,24,11,,,,,,142877264,,,ce.0930536C@ac-creteil.fr,,,,,,,,,,,,,,,,,,7.86E+13,,,48.87118209,,,,,,,,,,,,,,,,,,,,,,,,,,
0931142L,IME Le Petit Orme,Médico-social,Privé,1 impasse DE LA POSTE,,93290 TREMBLAY EN FRANCE,93290,93073,Tremblay-en-France,93,24,11,,,,,,149634777,,,ce.0931142L@ac-creteil.fr,,,,,,,,,,,,,,,,,,3.31E+13,,,48.98357632,,,,,,,,,,,,,,,,,,,,,,,,,,
0931380V,IMPRO vie et Travail,Médico-social,Privé,8 rue Henri Becquerel,,93270 SEVRAN,93270,93071,Sevran,93,24,11,,,,,,143839620,,,ce.0931380V@ac-creteil.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.94286546,,,,,,,,,,,,,,,,,,,,,,,,,,
0931548C,Centre de Rééducation d'enfants sourds de Noisy le Grand,Médico-social,Privé,60 AVENUE EMILE COSSONEAU,,93160 NOISY LE GRAND,93160,93051,Noisy-le-Grand,93,24,11,,,,,,143037152,,,direction@cresn-langageetintegration.fr,,,,,,,,,,,,,,,,,,3.12E+13,,,48.84915659,,,,,,,,,,,,,,,,,,,,,,,,,,
0931653S,EMP Toulouse-Lautrec,Médico-social,Privé,RUE MICHEL ANGE,,93600 AULNAY SOUS BOIS,93600,93005,Aulnay-sous-Bois,93,24,11,,,,,,148198989,,,ce.0931653S@ac-creteil.fr,,,,,,,,,,,,,,,,,,4.39E+13,,,48.95529741,,,,,,,,,,,,,,,,,,,,,,,,,,
0932350Z,IME Autisme 93 Montreuil - Les Enfants Terribles,Médico-social,Privé,120 avenue du Colonel Fabien,,93100 MONTREUIL,93100,93048,Montreuil,93,24,11,,,,,,148705823,,,ce.0932350Z@ac-creteil.fr,,,,,,,,,,,,,,,,,,4.84E+13,,,48.87771026,,,,,,,,,,,,,,,,,,,,,,,,,,
0932398B,IMP Chaptal,Médico-social,Privé,RUE CHAPTAL PROLONGEE,,93800 EPINAY SUR SEINE,93800,93031,Epinay-sur-Seine,93,24,11,,,,,,148297119,,,,,,,,,,,,,,,,,,,,,7.76E+13,,,48.94993602,,,,,,,,,,,,,,,,,,,,,,,,,,
0932410P,APF Les Chemins de Traverse,Médico-social,Privé,23 RUE DE L'UNIVERSITE,,93160 NOISY LE GRAND,93160,93051,Noisy-le-Grand,93,24,11,,,,,,148150650,,,,,,,,,,,,,,,,,,,,,7.76E+13,,,48.83697481,,,,,,,,,,,,,,,,,,,,,,,,,,
0932433P,Centre Jean Richepin,Médico-social,Privé,6 RUE RICHEPIN,,93160 NOISY LE GRAND,93160,93051,Noisy-le-Grand,93,24,11,,,,,,143033108,,,ce.0932433P@ac-creteil.fr,,,,,,,,,,,,,,,,,,3.41E+13,,,48.84446162,,,,,,,,,,,,,,,,,,,,,,,,,,
0932453L,IME Les 1000 Couleurs Bondy,Médico-social,Privé,148 chemin DE GROSLAY,,93140 BONDY,93140,93010,Bondy,93,24,11,,,,,,141551570,,,ce.0932453L@ac-creteil.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.91530103,,,,,,,,,,,,,,,,,,,,,,,,,,
0932664R,I.M.E. de SOUBIRAN,Médico-social,Privé,1 route de Tremblay,,93420 VILLEPINTE,93420,93078,Villepinte,93,24,11,,,,,,148781431,,,ce.0932664R@ac-creteil.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.96407196,,,,,,,,,,,,,,,,,,,,,,,,,,
0941196P,IME Les Lilas,Médico-social,Privé,3  RUE DES LILAS,,94240 L HAY LES ROSES,94240,94038,L'Haÿ-les-Roses,94,24,11,,,,,,146860156,,,ime-lilas@wanadoo.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.77806612,,,,,,,,,,,,,,,,,,,,,,,,,,
0941430U,IME L'Arc en Ciel,Médico-social,Privé,38 rue D'ETIENNE D'ORVES,,94320 THIAIS,94320,94073,Thiais,94,24,11,,,,,,148529516,,,,,,,,,,,,,,,,,,,,,3.32E+13,,,48.76122331,,,,,,,,,,,,,,,,,,,,,,,,,,
0941529B,IME Seguin,Médico-social,Privé,14 bis boulevard Chastenet de Gery,,94270 LE KREMLIN BICETRE,94270,94043,Le Kremlin-Bicêtre,94,24,11,,,,,,149870550,,,bpimpro.seguin@wanadoo.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.80675294,,,,,,,,,,,,,,,,,,,,,,,,,,
0941533F,IME La Nichée,Médico-social,Privé,104 rue JULIETTE SAVAR,,94000 CRETEIL,94000,94028,Créteil,94,24,11,,,,,,143394790,,,imelanichee@wanadoo.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.77581645,,,,,,,,,,,,,,,,,,,,,,,,,,
0942140R,IME Anatole France,Médico-social,Privé,17 avenue Anatole France,,94000 CRETEIL,94000,94028,Créteil,94,24,11,,,,,,142071761,,,ippadirection@alfainfo.net,,,,,,,,,,,,,,,,,,3.41E+13,,,48.79679871,,,,,,,,,,,,,,,,,,,,,,,,,,
0942227K,IME Armonia,Médico-social,Privé,20 ALLEE VAN GOGH,,94450 LIMEIL BREVANNES,94450,94044,Limeil-Brévannes,94,24,11,,,,,,145102960,,,,,,,,,,,,,,,,,,,,,3.32E+13,,,48.74471946,,,,,,,,,,,,,,,,,,,,,,,,,,
0942349T,Institut d'éducation moteur de Boissy-Saint-Léger,Médico-social,Privé,4 ALLEE DES COQUELICOTS,,94470 BOISSY ST LEGER,94470,94004,Boissy-Saint-Léger,94,24,11,,,,,,184690001,,,,,,,,,,,,,,,,,,,,,7.85E+13,,,48.76019664,,,,,,,,,,,,,,,,,,,,,,,,,,
0950303N,Externat médico Pédagogique Les sources,Médico-social,Privé,38  RUE DES ONZE ARPENTS,,95130 FRANCONVILLE LA GARENNE,95130,95252,Franconville,95,25,11,,,,,,130720331,,,0950303N@ac-versailles.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.9897513,,,,,,,,,,,,,,,,,,,,,,,,,,
0951329D,Institut médico éducatif Les sources,Médico-social,Privé,12 RUE RUE MAURICE BERTEAUX LEBOURG,,95120 ERMONT,95120,95219,Ermont,95,25,11,,,,,,134132208,,,0951329D@ac-versailles.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.98676518,,,,,,,,,,,,,,,,,,,,,,,,,,
0951330E,Institut médico éducatif le clos du Parisis,Médico-social,Privé,49 RUE FORTUNE CHARLOT,,95370 MONTIGNY LES CORMEILLES,95370,95424,Montigny-lès-Cormeilles,95,25,11,,,,,,139975820,,,0951330e@ac-versailles.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,48.98969494,,,,,,,,,,,,,,,,,,,,,,,,,,
0951978J,Institut médico éducatif la Clé,Médico-social,Privé,9 place du 8 Mai 1945,,95490 VAUREAL,95490,95637,Vauréal,95,25,11,,,,,,134309348,,,0951978j@ac-versailles.fr,,,,,,,,,,,,,,,,,,4.00E+13,,,49.03454372,,,,,,,,,,,,,,,,,,,,,,,,,,
0952038Z,Institut médico éducatif Jacques Maraux,Médico-social,Privé,ZAC DE LA BERCHERE,,95580 ANDILLY,95580,95014,Andilly,95,25,11,,,,,,130105232,,,0952038z@ac-versailles.fr,,,,,,,,,,,,,,,,,,7.76E+13,,,49.00830514,,,,,,,,,,,,,,,,,,,,,,,,,,
0952146S,Institut médico éducatif RENE ZAZZO - MLM,Médico-social,Privé,165 rue de Paris,,95680 MONTLIGNON,95680,95426,Montlignon,95,25,11,,,,,,134271540,,,ce.0952146s@ac-versailles.fr,,,,,,,,,,,,,,,,,,,,,49.02118411,,,,,,,,,,,,,,,,,,,,,,,,,,
0952148U,Dispositif Thérapeutique Educatif et pédagogiaque René Laborie - MLM - Montlignon,Médico-social,Privé,165 rue de Paris,,95680 MONTLIGNON,95680,95426,Montlignon,95,25,11,,,,,,134271548,,,0952148u@ac-versailles.fr,,,,,,,,,,,,,,,,,,4.45E+13,,,49.02118411,,,,,,,,,,,,,,,,,,,,,,,,,,
0952201B,Institut Médico-Educatif du Bois d'en haut,Médico-social,Privé,7 rue DU PARC,,95300 ENNERY,95300,95211,Ennery,95,25,11,,,,,,134257405,,,0952201b@ac-versailles.fr,,,,,,,,,,,,,,,,,,7.85E+13,,,49.06107026,,,,,,,,,,,,,,,,,,,,,,,,,,
0783053V,Lycée Sainte-Geneviève,Lycée,Privé,2 rue de l'Ecole des Postes,,,78000,78646,Versailles,78,25,11,,,,,,01 30 84 46 00,01 30 84 46 31,http://www.bginette.com,ecolesaintegenevieve@bginette.fr,,,,,,,,,,,,,,,,,,7.85E+13,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2625,48.80406812,,,,,,,,,,,,,,,,,,,,,,,,,,
0752099Z,Paris School of Tourism and Communication,,Privé,12 rue Magellan,,75008 PARIS,75008,75108,Paris  8e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.87052285,,,,,,,,,,,,,,,,,,,,,,,,,,
0753132X,Ecole supérieure de publicité,,Privé,9 rue Léo Delibes,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23E+13,,,48.86686237,,,,,,,,,,,,,,,,,,,,,,,,,,
0753176V,Ctre univ gestion informatique,,Privé,19 rue DE DOMREMY,,75013 PARIS,75013,75113,Paris 13e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.82995747,,,,,,,,,,,,,,,,,,,,,,,,,,
0754440U,Institut des techniques informatiques et commerciales,,Privé,190 bis boulevard de Charonne,,75020 PARIS,75020,75120,Paris 20e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39E+13,,,48.85792873,,,,,,,,,,,,,,,,,,,,,,,,,,
0755017W,Institut supérieur privé de Ressources informatiques,,Privé,63 rue Ampère,,75017 PARIS,75017,75117,Paris 17e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.88519528,,,,,,,,,,,,,,,,,,,,,,,,,,
0755019Y,Application ens privé optique,,Privé,165  RUE DE SEVRES,,75015 PARIS,75015,75115,Paris 15e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.84528473,,,,,,,,,,,,,,,,,,,,,,,,,,
0755081R,Plus values école privée d'ens technique sup,,Privé,230 rue FAUBOURG SAINT HONORE,,75008 PARIS,75008,75108,Paris  8e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8760379,,,,,,,,,,,,,,,,,,,,,,,,,,
0755104R,C.F.L. CENTRE de FORMATION LINCOLN,,Privé,15 rue DE LA FEDERATION,,75015 PARIS,75015,75115,Paris 15e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.85468779,,,,,,,,,,,,,,,,,,,,,,,,,,
0755545V,Centre Privé H3 Campus Paris,,Privé,35 rue de Clichy,,75009 PARIS,75009,75109,Paris  9e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.87933184,,,,,,,,,,,,,,,,,,,,,,,,,,
0755623E,Etab privé d'enseignt tech sup Comart,,Privé,15 rue du Louvre,,75001 PARIS,75001,75101,Paris  1er Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.86350119,,,,,,,,,,,,,,,,,,,,,,,,,,
0755642A,TELINF,,Privé,71 boulevard Richard Lenoir,,75011 PARIS,75011,75111,Paris 11e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49E+13,,,48.86069583,,,,,,,,,,,,,,,,,,,,,,,,,,
0755759C,EMA Paris,,Privé,28 rue des Marguettes,,75012 PARIS,75012,75112,Paris 12e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52E+13,,,48.84374262,,,,,,,,,,,,,,,,,,,,,,,,,,
0755942B,Etablissement Libre des Examens d'Admission,,Privé,121 boulevard Raspail,,75014 PARIS,75014,75114,Paris 14e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35E+13,,,48.84060862,,,,,,,,,,,,,,,,,,,,,,,,,,
0756128D,La Prépa Autrement,,Privé,8 rue du commandant Schloesing,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,8.83E+13,,,48.86182735,,,,,,,,,,,,,,,,,,,,,,,,,,
0922687W,Institut d'Enseignement supérieur privé Intégrale Prépa,,Privé,12 place de l'Eglise,,92140 CLAMART,92140,92023,Clamart,92,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.79950817,,,,,,,,,,,,,,,,,,,,,,,,,,
0941869W,Institut National de Formation et d'Application,,Privé,5 rue Anquetil,BP 6,94731 NOGENT SUR MARNE CEDEX,94731,94052,Nogent-sur-Marne,94,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51E+13,,,48.84217006,,,,,,,,,,,,,,,,,,,,,,,,,,
0783444V,Ecole élémentaire privée Les Tilleuls,Ecole,Privé,16 rue Jean Bart,,78960 VOISINS LE BRETONNEUX,78960,78688,Voisins-le-Bretonneux,78,25,11,1,1,,,,139440670,,,ce.0783444V@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,4.14E+13,,,48.76574824,,,,,,,,,,,,,,,,,,,,,,,,,,
0783527K,Ecole élémentaire privée Jacinthe et Francois,Ecole,Privé,23 rue rue de la clairefontaine,,78120 RAMBOUILLET,78120,78517,Rambouillet,78,25,11,1,1,,,,134838141,,,ecolejacinthe@orange.fr,1,0,0,,,,,,,,,,,,,,,,,,48.65147869,,,,,,,,,,,,,,,,,,,,,,,,,,
0783610A,Ecole élémentaire privée Sainte Julitte,Ecole,Privé,11 allée Promenade des Anges,,78210 ST CYR L ECOLE,78210,78545,Saint-Cyr-l'Ecole,78,25,11,1,1,,,,130230179,,,contact@ecolesaintejulitte.fr,1,0,0,,,,,,,,,,,,,,,5.34E+13,,,48.80547946,,,,,,,,,,,,,,,,,,,,,,,,,,
0783633A,Ecole élémentaire privée Graines du savoir,Ecole,Privé,23 rue Gambetta,,78130 LES MUREAUX,78130,78440,Les Mureaux,78,25,11,1,1,,,,134744497,,,direction@grainesdusavoir.fr,1,0,0,,,,,,,,,,,,,,,,,,48.99103485,,,,,,,,,,,,,,,,,,,,,,,,,,
0783655Z,Ecole élémentaire privée Saint Bernard,Ecole,Privé,5 rue de Chaponval,,78870 BAILLY,78870,78043,Bailly,78,25,11,1,1,,,,130495404,,,ecolesaintbernard@live.fr,0,0,0,,,,,,,,,,,,,,,,,,48.83596099,,,,,,,,,,,,,,,,,,,,,,,,,,
0783663H,Ecole primaire privée Sainte Clotilde,Ecole,Privé,41 rue René Dorne,,78330 FONTENAY LE FLEURY,78330,78242,Fontenay-le-Fleury,78,25,11,1,1,,,,130584030,,,sainteclotilde@scholae-fanjeaux.org,1,1,0,,,,,,,,,,,,,,,,,,48.81065347,,,,,,,,,,,,,,,,,,,,,,,,,,
0783677Y,Ecole élémentaire privée Montessori Bilingue d'Andrésy,Ecole,Privé,1 rue Pasteur,,78570 ANDRESY,78570,78015,Andrésy,78,25,11,1,1,,,,660530365,,,contact@ecole-montessori-andresy.com,1,0,0,,,,,,,,,,,,,,,,,,48.98752589,,,,,,,,,,,,,,,,,,,,,,,,,,
0783691N,Ecole élémentaire privée Bienheureux,Ecole,Privé,7 rue de Conde,,78000 VERSAILLES,78000,78646,Versailles,78,25,11,1,1,,,,680859370,,,ecole-primaire@foucauld-versailles.fr,1,0,0,,,,,,,,,,,,,,,,,,48.79572825,,,,,,,,,,,,,,,,,,,,,,,,,,
0783710J,Ecole élémentaire privée Montessori Trillium International School,Ecole,Privé,9 rue de la Sabotte,,78160 MARLY LE ROI,78160,78372,Marly-le-Roi,78,25,11,1,1,,,,671003580,,,contact@trilliuminternationalschool.com,0,0,0,,,,,,,,,,,,,,,,,,48.87711093,,,,,,,,,,,,,,,,,,,,,,,,,,
0783719U,Ecole privée des Orchidées,Ecole,Privé,16 avenue de Saint-Germain,,78560 LE PORT MARLY,78560,78502,Le Port-Marly,78,25,11,1,1,,,,179753222,,,info@ecole-des-orchidees.com,1,0,0,,,,,,,,,,,,,,,,,,48.88696583,,,,,,,,,,,,,,,,,,,,,,,,,,
0783736M,Ecole primaire privée we love momes,Ecole,Privé,48 rue Louis Gandillet,,78420 CARRIERES SUR SEINE,78420,78124,Carrières-sur-Seine,78,25,11,1,1,,,,,,,laymonin@welovemomes.org,0,0,0,,,,,,,,,,,,,,,,,,48.91347502,,,,,,,,,,,,,,,,,,,,,,,,,,
0783776F,Cours la Galiote,Ecole,Privé,13 avenue Du Bon Roi Saint Louis,,78300 POISSY,78300,78498,Poissy,78,25,11,1,1,,,,766383833,,,directeur.courslagaliote@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.92736292,,,,,,,,,,,,,,,,,,,,,,,,,,
0783799F,Ecole primaire privée les jeunes poussent autrement,Ecole,Privé,62 grande rue,,78490 VICQ,78490,78653,Vicq,78,25,11,1,1,,,,686615505,,,ecolautrement@gmail.com,0,0,0,,,,,,,,,,,,,,,8.98E+13,,,48.81791914,,,,,,,,,,,,,,,,,,,,,,,,,,
0910885T,Ecole primaire privée Sainte Marie,Ecole,Privé,39 rue Champlouis,,91100 CORBEIL ESSONNES,91100,91174,Corbeil-Essonnes,91,25,11,1,1,,,,160890606,,,ce.0910885T@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.60912647,,,,,,,,,,,,,,,,,,,,,,,,,,
0910897F,Ecole primaire privée Sainte Anne,Ecole,Privé,4 rue avenue de la République,,91260 JUVISY SUR ORGE,91260,91326,Juvisy-sur-Orge,91,25,11,1,1,,,,169214187,,,ce.0910897F@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.68890347,,,,,,,,,,,,,,,,,,,,,,,,,,
0910906R,Ecole primaire privée du Sacré-Coeur,Ecole,Privé,10 rue Christophe De Saulx,,91310 MONTLHERY,91310,91425,Montlhéry,91,25,11,1,1,,,,169011023,,,ce.0910906R@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.63831212,,,,,,,,,,,,,,,,,,,,,,,,,,
0912285P,Ecole élémentaire privée Maria Montessori internationale,Ecole,Privé,3 place du Général de Gaulle EVRY,,91000 EVRY COURCOURONNES,91000,91228,Evry-Courcouronnes,91,25,11,1,1,,,,169364970,,,eammi91@aliceadsl.fr,1,0,0,,,,,,,,,,,,,,,,,,48.63642423,,,,,,,,,,,,,,,,,,,,,,,,,,
0912320C,Ecole élémentaire privée Rhazès,Ecole,Privé,17 rue Galilée,,91270 VIGNEUX SUR SEINE,91270,91657,Vigneux-sur-Seine,91,25,11,1,1,,,,782576469,,,direction@ecolerhazes.fr,1,0,0,,,,,,,,,,,,,,,,,,48.70554281,,,,,,,,,,,,,,,,,,,,,,,,,,
0912339Y,Ecole privée bilingue internationale Nouqa,Ecole,Privé,69 rue de Paris,,91400 ORSAY,91400,91471,Orsay,91,25,11,1,1,,,,169281882,,,jardincapucines@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.69775814,,,,,,,,,,,,,,,,,,,,,,,,,,
0912375M,Ecole primaire privée La Plume Verte,Ecole,Privé,82 avenue de Verdun,,91550 PARAY VIEILLE POSTE,91550,91479,Paray-Vieille-Poste,91,25,11,1,1,,,,169448640,,,direction@plume-verte.com,0,0,0,,,,,,,,,,,,,,,,,,48.70578747,,,,,,,,,,,,,,,,,,,,,,,,,,
0921058A,Ecole primaire privée Sainte Marie,Ecole,Privé,21 bis rue Auguste Mounié,,92164 ANTONY CEDEX,92164,92002,Antony,92,25,11,1,1,,,,155590133,,,ce.0921058A@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.02E+13,,,48.75360667,,,,,,,,,,,,,,,,,,,,,,,,,,
0921059B,Ecole primaire privée Sainte Geneviève,Ecole,Privé,19 rue de la Station,,92600 ASNIERES SUR SEINE,92600,92004,Asnières-sur-Seine,92,25,11,1,1,,,,147930528,,,ce.0921059B@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.90698445,,,,,,,,,,,,,,,,,,,,,,,,,,
0921064G,Ecole primaire privée Dupanloup,Ecole,Privé,4 avenue Robert Schuman,,92100 BOULOGNE BILLANCOURT,92100,92012,Boulogne-Billancourt,92,25,11,1,1,,,,146055835,,,ce.0921064G@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.84463243,,,,,,,,,,,,,,,,,,,,,,,,,,
0921065H,Ecole primaire privée Saint Joseph du Parchamp,Ecole,Privé,6 rue du Parchamp,,92100 BOULOGNE BILLANCOURT,92100,92012,Boulogne-Billancourt,92,25,11,1,1,,,,146999030,,,ce.0921065H@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.84668264,,,,,,,,,,,,,,,,,,,,,,,,,,
0921067K,Ecole élémentaire privée Sophie Barat,Ecole,Privé,50 rue des Grillons,,92290 CHATENAY MALABRY,92290,92019,Châtenay-Malabry,92,25,11,0,1,,,,141134700,,,ce.0921067K@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.75782171,,,,,,,,,,,,,,,,,,,,,,,,,,
0921100W,Ecole primaire privée Notre-Dame France,Ecole,Privé,5 rue Arblade,,92240 MALAKOFF,92240,92046,Malakoff,92,25,11,1,1,,,,147352626,,,ce.0921100W@ac-versailles.fr,1,0,1,,,,,,,,,,,,,,,7.85E+13,,,48.81825399,,,,,,,,,,,,,,,,,,,,,,,,,,
0921103Z,Ecole primaire privée Saint Joseph Bellevue,Ecole,Privé,29 rue Henri Savignac,,92190 MEUDON,92190,92048,Meudon,92,25,11,1,1,,,,145341555,,,ce.0921103Z@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.39E+13,,,48.81810582,,,,,,,,,,,,,,,,,,,,,,,,,,
0921124X,Ecole primaire privée Saint Dominique,Ecole,Privé,28 avenue Sainte Foy,,92200 NEUILLY SUR SEINE,92200,92051,Neuilly-sur-Seine,92,25,11,1,1,,,,140889227,,,ce.0921124X@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.88647806,,,,,,,,,,,,,,,,,,,,,,,,,,
0921126Z,Ecole primaire privée Notre-Dame de Sainte Croix,Ecole,Privé,44 boulevard Victor Hugo,,92200 NEUILLY SUR SEINE,92200,92051,Neuilly-sur-Seine,92,25,11,1,1,,,,140899613,,,ce.0921126Z@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,4.02E+13,,,48.88849034,,,,,,,,,,,,,,,,,,,,,,,,,,
